time,motor1_cmd,motor2_cmd,motor3_cmd,motor4_cmd,motor1_speed,motor2_speed,motor3_speed,motor4_speed
0,0.14033,0,-0.14217,0,0.01,0,0,0
50,0.14033,0,-0.14217,0,4.362,0.259,-2.694,0.403
100,0.14033,0,-0.14217,0,7.229,0.451,-5.053,0.69
150,0.14033,0,-0.14217,0,10.69,0.201,-9.52,-0.153
200,0.14033,0,-0.14217,0,13,1.659,-12.77,0.096
250,0.14033,0,-0.14217,0,15.992,0.431,-14.65,-0.297
300,0.14033,0,-0.14217,0,16.931,0.46,-15.771,0.144
350,0.14033,0,-0.14217,0,16.74,0.115,-18.379,-0.834
400,0.14033,0,-0.14217,0,18.964,-0.058,-18.657,-1.4
450,0.14033,0,-0.14217,0,17.794,0.058,-18.379,0.134
500,0.14033,0,-0.14217,0,19.069,-0.125,-19.529,0.422
550,0.14033,0,-0.14217,0,21.054,-0.048,-20.853,0.566
600,0.14033,0,-0.14217,0,21.687,0.048,-21.255,0.633
650,0.14033,0,-0.14217,0,22.31,0.355,-21.955,-0.029
700,0.14033,0,-0.14217,0,21.811,0.163,-21.783,-0.297
750,0.14033,0,-0.14217,0,22.396,-0.048,-23.489,0.105
800,0.14033,0,-0.14217,0,23.269,-0.029,-24.323,-0.096
850,0.14033,0,-0.14217,0,23.422,0.038,-23.729,0.038
900,0.14033,0,-0.14217,0,24.381,0.067,-23.748,0.096
950,0.14033,0,-0.14217,0,24.103,-0.105,-23.873,-0.144
1000,-0.05365,-0.08544,0,0.06511,23.192,-0.019,-23.959,0.058
1050,-0.05365,-0.08544,0,0.06511,11.668,-4.535,-22.013,7.219
1100,-0.05365,-0.08544,0,0.06511,-0.767,-6.376,-17.535,4.171
1150,-0.05365,-0.08544,0,0.06511,0.834,-9.789,-14.371,2.895
1200,-0.05365,-0.08544,0,0.06511,-1.917,-10.517,-9.693,0.863
1250,-0.05365,-0.08544,0,0.06511,-4.976,-11.121,-5.925,1.275
1300,-0.05365,-0.08544,0,0.06511,-5.273,-11.476,-2.387,3.614
1350,-0.05365,-0.08544,0,0.06511,-5.503,-11.61,-1.4,5.235
1400,-0.05365,-0.08544,0,0.06511,-4.439,-11.304,-1.85,6.213
1450,-0.05365,-0.08544,0,0.06511,-5.388,-11.476,-0.959,6.356
1500,-0.05365,-0.08544,0,0.06511,-4.535,-12.425,0.153,8.638
1550,-0.05365,-0.08544,0,0.06511,-5.196,-11.61,0.058,8.629
1600,-0.05365,-0.08544,0,0.06511,-4.698,-12.435,0.201,9.271
1650,-0.05365,-0.08544,0,0.06511,-6.232,-12.981,0.134,8.168
1700,-0.05365,-0.08544,0,0.06511,-6.251,-12.799,-0.374,7.967
1750,-0.05365,-0.08544,0,0.06511,-5.647,-12.722,0.173,8.696
1800,-0.05365,-0.08544,0,0.06511,-5.743,-12.416,-0.163,9.06
1850,-0.05365,-0.08544,0,0.06511,-9.319,-13.173,0.086,10.172
1900,-0.05365,-0.08544,0,0.06511,-5.292,-12.742,0.134,10
1950,-0.05365,-0.08544,0,0.06511,-6.337,-13.48,-0.297,9.434
2000,-0.05365,-0.08544,0,0.06511,-5.944,-13.729,0.23,9.137
2050,0,-0.18211,-0.06335,0.15764,-5.388,-13.307,0.01,9.779
2100,0,-0.18211,-0.06335,0.15764,-2.282,-16.855,-1.419,12.109
2150,0,-0.18211,-0.06335,0.15764,-0.7,-18.571,-2.934,16.011
