time,motor1_cmd,motor2_cmd,motor3_cmd,motor4_cmd,motor1_speed,motor2_speed,motor3_speed,motor4_speed
0,0.11667,0,-0.11001,0,0,0,0,0
10,0.11667,0,-0.11001,0,2.27,0.031,-2.485,0
20,0.11667,0,-0.11001,0,3.068,0,-4.142,-0.092
30,0.11667,0,-0.11001,0,3.528,-0.031,-4.602,-0.583
40,0.11667,0,-0.11001,0,4.51,0.061,-5.062,-0.583
50,0.11667,0,-0.11001,0,5.89,0,-4.571,-0.92
60,0.11667,0,-0.11001,0,7.639,0,-5.584,-1.534
70,0.11667,0,-0.11001,0,8.989,0,-6.903,-1.565
80,0.11667,0,-0.11001,0,9.817,0,-7.977,-1.411
90,0.11667,0,-0.11001,0,10.554,0,-9.388,-1.963
100,0.11667,0,-0.11001,0,11.628,0,-9.817,-2.24
110,0.11667,0,-0.11001,0,13.039,-0.031,-10.37,-2.148
120,0.11667,0,-0.11001,0,13.622,0.061,-11.658,-2.393
130,0.11667,0,-0.11001,0,13.929,-0.061,-12.088,-2.178
140,0.11667,0,-0.11001,0,15.309,0.092,-12.088,-2.209
150,0.11667,0,-0.11001,0,16.076,-0.092,-13.162,-2.393
160,0.11667,0,-0.11001,0,16.628,0.061,-14.143,-2.454
170,0.11667,0,-0.11001,0,17.273,0,-14.327,-2.516
180,0.11667,0,-0.11001,0,17.457,0,-14.818,-2.7
190,0.11667,0,-0.11001,0,17.978,-0.092,-15.861,-2.7
200,0.11667,0,-0.11001,0,18.807,0.061,-15.923,-2.608
210,0.11667,0,-0.11001,0,18.469,0,-16.26,-2.792
220,0.11667,0,-0.11001,0,19.021,0.061,-16.076,-2.853
230,0.11667,0,-0.11001,0,19.267,-0.092,-16.383,-2.945
240,0.11667,0,-0.11001,0,20.187,0,-17.426,-2.823
250,0.11667,0,-0.11001,0,20.77,0.061,-17.518,-3.007
260,0.11667,0,-0.11001,0,19.972,-0.031,-17.181,-3.436
270,0.11667,0,-0.11001,0,20.218,-0.061,-17.978,-3.129
280,0.11667,0,-0.11001,0,21.108,0.061,-17.978,-2.823
290,0.11667,0,-0.11001,0,21.66,-0.031,-19.328,-2.638
300,0.11667,0,-0.11001,0,22.273,0.061,-19.359,-2.823
310,0.11667,0,-0.11001,0,22.335,-0.092,-19.451,-2.792
320,0.11667,0,-0.11001,0,22.764,-0.061,-20.77,-2.393
330,0.11667,0,-0.11001,0,22.764,0.245,-20.341,-2.362
340,0.11667,0,-0.11001,0,22.764,-0.276,-20.126,-2.393
350,0.11667,0,-0.11001,0,22.979,0.215,-20.279,-2.424
360,0.11667,0,-0.11001,0,23.409,-0.061,-20.095,-2.454
370,0.11667,0,-0.11001,0,23.807,-0.031,-20.801,-2.393
380,0.11667,0,-0.11001,0,24.083,0.092,-21.108,-2.485
390,0.11667,0,-0.11001,0,23.562,-0.184,-21.752,-2.24
400,0.11667,0,-0.11001,0,23.715,0.123,-21.292,-2.148
410,0.11667,0,-0.11001,0,23.807,0,-21.108,-2.117
420,0.11667,0,-0.11001,0,24.82,-0.031,-21.936,-2.056
430,0.11667,0,-0.11001,0,25.495,0.031,-21.783,-2.424
440,0.11667,0,-0.11001,0,24.329,-0.092,-21.905,-2.424
