time,motor1_cmd,motor2_cmd,motor3_cmd,motor4_cmd,motor1_speed,motor2_speed,motor3_speed,motor4_speed
0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0.01
450,0,0,0,0,0,0,0,0
950,0.14033,0,-0.14217,0,0,0,0,0
1000,0.14033,0,-0.14217,0,4.439,0.163,-2.694,0.489
1050,0.14033,0,-0.14217,0,7.727,0.94,-4.679,1.285
1100,0.14033,0,-0.14217,0,10.46,-0.134,-9.386,0.757
1150,0.14033,0,-0.14217,0,13.518,-0.144,-12.559,0.048
1200,0.14033,0,-0.14217,0,14.688,0.249,-15.129,-0.374
1250,0.14033,0,-0.14217,0,17.276,-0.278,-17.785,0.144
1300,0.14033,0,-0.14217,0,17.439,-0.067,-17.737,0.182
1350,0.14033,0,-0.14217,0,19.453,0.115,-18.897,-0.115
1400,0.14033,0,-0.14217,0,19.031,-0.077,-19.645,-0.077
1450,0.14033,0,-0.14217,0,20.862,-0.01,-20.162,0.297
1500,0.14033,0,-0.14217,0,21.61,0.038,-21.409,-0.307
1550,0.14033,0,-0.14217,0,21.898,-0.01,-22.271,-0.211
1600,0.14033,0,-0.14217,0,22.789,-0.029,-22.828,0.326
1650,0.14033,0,-0.14217,0,22.77,0,-23,0.01
1700,0.14033,0,-0.14217,0,24.064,0.067,-23.182,-0.029
1750,0.14033,0,-0.14217,0,24.352,-0.01,-23.489,0.019
1800,0.14033,0,-0.14217,0,24.131,-0.038,-24.525,-0.077
1850,0.14033,0,-0.14217,0,24.668,0.048,-24.486,-0.019
1900,0.14033,0,-0.14217,0,25.052,-0.038,-24.985,0.096
1950,0.14033,0,-0.14217,0,24.735,0.019,-24.879,-0.144
2000,-0.05365,-0.08544,0,0.06511,25.57,-0.048,-24.716,0.144
2050,-0.05365,-0.08544,0,0.06511,13.643,-3.854,-22.367,6.04
2100,-0.05365,-0.08544,0,0.06511,5.359,-7.545,-20.181,5.676
2150,-0.05365,-0.08544,0,0.06511,1.045,-10.086,-16.74,0.585
2200,-0.05365,-0.08544,0,0.06511,-1.898,-10.987,-12.885,-0.374
2250,-0.05365,-0.08544,0,0.06511,-4.017,-10.517,-8.6,-0.451
2300,-0.05365,-0.08544,0,0.06511,-4.18,-11.141,-5.724,1.524
2350,-0.05365,-0.08544,0,0.06511,-5.57,-10.383,-3.701,0.978
2400,-0.05365,-0.08544,0,0.06511,-4.822,-10.489,-2.176,3.777
2450,-0.05365,-0.08544,0,0.06511,-5.388,-10.642,-2.08,5.033
2500,-0.05365,-0.08544,0,0.06511,-5.168,-11.917,-1.994,6.107
2550,-0.05365,-0.08544,0,0.06511,-6.702,-11.879,-0.038,6.567
2600,-0.05365,-0.08544,0,0.06511,-5.139,-11.188,0.278,7.938
2650,-0.05365,-0.08544,0,0.06511,-4.851,-11.639,0.633,8.6
2700,-0.05365,-0.08544,0,0.06511,-5.139,-13.068,-0.029,8.188
2750,-0.05365,-0.08544,0,0.06511,-4.918,-12.444,-0.326,8.964
2800,-0.05365,-0.08544,0,0.06511,-5.033,-12.732,-0.01,8.619
2850,-0.05365,-0.08544,0,0.06511,-5.58,-12.559,0.221,9.118
2900,-0.05365,-0.08544,0,0.06511,-5.733,-12.157,-0.153,8.542
2950,-0.05365,-0.08544,0,0.06511,-6.328,-12.55,0.01,9.233
3000,-0.05365,-0.08544,0,0.06511,-5.263,-12.492,-0.134,10.076
3050,0,-0.18211,-0.06335,0.15764,-5.589,-13.048,0.288,10.067
3100,0,-0.18211,-0.06335,0.15764,-2.464,-16.049,-2.071,12.099
3150,0,-0.18211,-0.06335,0.15764,-1.716,-18.973,-4.161,14.477
3200,0,-0.18211,-0.06335,0.15764,-0.058,-21.783,-5.647,16.826
3250,0,-0.18211,-0.06335,0.15764,0.182,-23.671,-6.5,20.076
3300,0,-0.18211,-0.06335,0.15764,0.336,-25.685,-7.258,20.853
3350,0,-0.18211,-0.06335,0.15764,-0.153,-26.49,-8.034,21.869
3400,0,-0.18211,-0.06335,0.15764,0.537,-27.602,-8.159,21.802
3450,0,-0.18211,-0.06335,0.15764,0.192,-28.868,-8.715,24.333
3500,0,-0.18211,-0.06335,0.15764,0.048,-29.644,-9.942,24.026
3550,0,-0.18211,-0.06335,0.15764,-0.115,-29.683,-10.786,22.425
3600,0,-0.18211,-0.06335,0.15764,0.345,-30.248,-11.409,24.649
3650,0,-0.18211,-0.06335,0.15764,0.173,-30.277,-11.006,23.393
3700,0,-0.18211,-0.06335,0.15764,-0.105,-30.689,-11.198,23.547
3750,0,-0.18211,-0.06335,0.15764,-0.115,-29.98,-11.409,23.154
3800,0,-0.18211,-0.06335,0.15764,0.029,-30.823,-11.073,23.556
3850,0,-0.18211,-0.06335,0.15764,0.383,-31.293,-10.949,24.707
