time,cmd_vx,px,vx,cmd_vy,py,vy,cmd_vt,pt,vt
1492453307.3493743,0.0,0.5221509400685577,-0.06990394497396378,0.3,-0.006726014041666959,-0.05614908898160893,0.0,-1.7558395789160461,-0.0022789256440429455
1492453307.4075027,0.0094232,0.5221932232993768,0.039188033368091485,0.29985,-0.006714154504248016,-0.02119701162239944,0.005,-1.7529393090443914,0.0053248556070394585
1492453307.4648263,0.018837,0.5221446743233038,-0.0811756200648958,0.29941,-0.006697451376942088,0.021132934615012082,0.01,-1.7545920510995403,0.0004839483301603666
1492453307.5214522,0.028232,0.5222433107575462,0.16355152916829807,0.29867,-0.006609262834944323,0.22877201775017436,0.015,-1.7563253701658545,-0.003949632474405475
1492453307.5814347,0.0376,0.5197062300751988,-5.901909225255313,0.29763,-0.0028578926630339787,9.141191058053131,0.02,-1.7784860980323873,-0.05935498878248121
1492453307.642522,0.04693,0.5175307817714467,-10.38287155240951,0.29631,0.0007899250145638951,16.744905971948647,0.025,-1.783096291222067,-0.0634982825474127
1492453307.699659,0.056214,0.5130156921719023,-19.905384126102682,0.29469,0.011833653350194071,41.0673974470806,0.03,-1.7743063869830575,-0.03331535706263285
1492453307.7543926,0.065443,0.5110681087859034,-22.174790094173066,0.29278,0.023484381387859063,63.93831795050876,0.035,-1.7527512025258751,0.02526273846761249
1492453307.8091443,0.074607,0.5100472596640834,-21.965343502159183,0.29057,0.031502058660176746,75.42640126153711,0.04,-1.7496570230607011,0.029881799025497677
1492453307.8641562,0.083697,0.5100799403807322,-19.270245655401773,0.28809,0.04247219506551633,92.58149263634523,0.045,-1.7402068125836732,0.04995222430261677
1492453307.9192617,0.092705,0.5102200510502627,-16.640264323762356,0.28532,0.055784941431713995,113.2750587713177,0.05,-1.7452371272798524,0.03096197974742369
1492453307.9732373,0.10162,0.51584386407824,-1.2557505574713836,0.28226,0.0746174166251274,144.65669470014464,0.055,-1.7239033953776095,0.08087400228316317
1492453308.0300674,0.11044,0.5209142727835796,10.976878563597907,0.27893,0.08598235561070194,154.50367823444523,0.06,-1.7139895477796656,0.09568226920893888
1492453308.0849218,0.11914,0.5273247921315126,24.945505161970747,0.27533,0.09826177473892736,165.3566181577498,0.065,-1.696580459868631,0.12753053062175612
1492453308.1402068,0.12773,0.5333662922258424,36.37035075138763,0.27145,0.11036960859391944,174.50751162482857,0.07,-1.6896948620865069,0.12881473395572784
1492453308.1945605,0.1362,0.5392693541773405,46.10399713350704,0.2673,0.12274186914251214,183.19819657549652,0.075,-1.6748010236247093,0.15013886382094438
1492453308.2503161,0.14453,0.5454455071437813,55.32864617973494,0.26289,0.1365905324216606,194.37169928077935,0.08,-1.6599204991380292,0.16873975252539936
